temp_id,file_name,file_type,extension,relative_path,size_bytes
TEMP_000001,IQ_000001.wav,Audio,.wav,data\raw\audio\IQ_000001.wav,121100
TEMP_000002,IQ_000002.wav,Audio,.wav,data\raw\audio\IQ_000002.wav,63372
TEMP_000003,IQ_000003.wav,Audio,.wav,data\raw\audio\IQ_000003.wav,74828
TEMP_000004,IQ_000004.wav,Audio,.wav,data\raw\audio\IQ_000004.wav,186764
TEMP_000005,IQ_000005.wav,Audio,.wav,data\raw\audio\IQ_000005.wav,61036
TEMP_000006,IQ_000006.wav,Audio,.wav,data\raw\audio\IQ_000006.wav,82220
TEMP_000007,IQ_000007.wav,Audio,.wav,data\raw\audio\IQ_000007.wav,184812
TEMP_000008,IQ_000008.wav,Audio,.wav,data\raw\audio\IQ_000008.wav,92620
TEMP_000009,IQ_000009.wav,Audio,.wav,data\raw\audio\IQ_000009.wav,179724
TEMP_000010,IQ_000010.wav,Audio,.wav,data\raw\audio\IQ_000010.wav,259596
TEMP_000011,IQ_000011.wav,Audio,.wav,data\raw\audio\IQ_000011.wav,292844
TEMP_000012,IQ_000012.wav,Audio,.wav,data\raw\audio\IQ_000012.wav,243852
TEMP_000013,IQ_000013.wav,Audio,.wav,data\raw\audio\IQ_000013.wav,156300
TEMP_000014,IQ_000014.wav,Audio,.wav,data\raw\audio\IQ_000014.wav,133548
TEMP_000015,IQ_000015.wav,Audio,.wav,data\raw\audio\IQ_000015.wav,63212
TEMP_000016,IQ_000016.wav,Audio,.wav,data\raw\audio\IQ_000016.wav,111500
TEMP_000017,IQ_000017.wav,Audio,.wav,data\raw\audio\IQ_000017.wav,212460
TEMP_000018,IQ_000018.wav,Audio,.wav,data\raw\audio\IQ_000018.wav,327884
TEMP_000019,IQ_000019.wav,Audio,.wav,data\raw\audio\IQ_000019.wav,211436
TEMP_000020,IQ_000020.wav,Audio,.wav,data\raw\audio\IQ_000020.wav,98924
TEMP_000021,IQ_000021.wav,Audio,.wav,data\raw\audio\IQ_000021.wav,71820
TEMP_000022,IQ_000022.wav,Audio,.wav,data\raw\audio\IQ_000022.wav,79596
TEMP_000023,IQ_000023.wav,Audio,.wav,data\raw\audio\IQ_000023.wav,116364
TEMP_000024,IQ_000024.wav,Audio,.wav,data\raw\audio\IQ_000024.wav,125068
TEMP_000025,IQ_000025.wav,Audio,.wav,data\raw\audio\IQ_000025.wav,231788
TEMP_000026,IQ_000026.wav,Audio,.wav,data\raw\audio\IQ_000026.wav,165324
TEMP_000027,IQ_000027.wav,Audio,.wav,data\raw\audio\IQ_000027.wav,185676
TEMP_000028,IQ_000028.wav,Audio,.wav,data\raw\audio\IQ_000028.wav,84236
TEMP_000029,IQ_000029.wav,Audio,.wav,data\raw\audio\IQ_000029.wav,94124
TEMP_000030,IQ_000030.wav,Audio,.wav,data\raw\audio\IQ_000030.wav,106028
TEMP_000031,IQ_000031.wav,Audio,.wav,data\raw\audio\IQ_000031.wav,74892
TEMP_000032,IQ_000032.wav,Audio,.wav,data\raw\audio\IQ_000032.wav,132268
TEMP_000033,IQ_000033.wav,Audio,.wav,data\raw\audio\IQ_000033.wav,96524
TEMP_000034,IQ_000034.wav,Audio,.wav,data\raw\audio\IQ_000034.wav,57388
TEMP_000035,IQ_000035.wav,Audio,.wav,data\raw\audio\IQ_000035.wav,136172
TEMP_000036,IQ_000036.wav,Audio,.wav,data\raw\audio\IQ_000036.wav,109484
TEMP_000037,IQ_000037.wav,Audio,.wav,data\raw\audio\IQ_000037.wav,58540
TEMP_000038,IQ_000038.wav,Audio,.wav,data\raw\audio\IQ_000038.wav,183564
TEMP_000039,IQ_000039.wav,Audio,.wav,data\raw\audio\IQ_000039.wav,100908
TEMP_000040,IQ_000040.wav,Audio,.wav,data\raw\audio\IQ_000040.wav,248140
TEMP_000041,IQ_000041.wav,Audio,.wav,data\raw\audio\IQ_000041.wav,54604
TEMP_000042,IQ_000042.wav,Audio,.wav,data\raw\audio\IQ_000042.wav,71372
TEMP_000043,IQ_000043.wav,Audio,.wav,data\raw\audio\IQ_000043.wav,141228
TEMP_000044,IQ_000044.wav,Audio,.wav,data\raw\audio\IQ_000044.wav,170732
TEMP_000045,IQ_000045.wav,Audio,.wav,data\raw\audio\IQ_000045.wav,116908
TEMP_000046,IQ_000046.wav,Audio,.wav,data\raw\audio\IQ_000046.wav,68076
TEMP_000047,IQ_000047.wav,Audio,.wav,data\raw\audio\IQ_000047.wav,136940
TEMP_000048,IQ_000048.wav,Audio,.wav,data\raw\audio\IQ_000048.wav,161932
TEMP_000049,IQ_000049.wav,Audio,.wav,data\raw\audio\IQ_000049.wav,95756
TEMP_000050,IQ_000050.wav,Audio,.wav,data\raw\audio\IQ_000050.wav,82188
TEMP_000051,IQ_000051.wav,Audio,.wav,data\raw\audio\IQ_000051.wav,126508
TEMP_000052,IQ_000052.wav,Audio,.wav,data\raw\audio\IQ_000052.wav,64588
TEMP_000053,IQ_000053.wav,Audio,.wav,data\raw\audio\IQ_000053.wav,135564
TEMP_000054,IQ_000054.wav,Audio,.wav,data\raw\audio\IQ_000054.wav,135276
TEMP_000055,IQ_000055.wav,Audio,.wav,data\raw\audio\IQ_000055.wav,122092
TEMP_000056,IQ_000056.wav,Audio,.wav,data\raw\audio\IQ_000056.wav,65612
TEMP_000057,IQ_000057.wav,Audio,.wav,data\raw\audio\IQ_000057.wav,72268
TEMP_000058,IQ_000058.wav,Audio,.wav,data\raw\audio\IQ_000058.wav,101004
TEMP_000059,IQ_000059.wav,Audio,.wav,data\raw\audio\IQ_000059.wav,96364
TEMP_000060,IQ_000060.wav,Audio,.wav,data\raw\audio\IQ_000060.wav,65260
TEMP_000061,IQ_000061.wav,Audio,.wav,data\raw\audio\IQ_000061.wav,61228
TEMP_000062,IQ_000062.wav,Audio,.wav,data\raw\audio\IQ_000062.wav,81644
TEMP_000063,IQ_000063.wav,Audio,.wav,data\raw\audio\IQ_000063.wav,128780
TEMP_000064,IQ_000064.wav,Audio,.wav,data\raw\audio\IQ_000064.wav,172428
TEMP_000065,IQ_000065.wav,Audio,.wav,data\raw\audio\IQ_000065.wav,62124
TEMP_000066,IQ_000066.wav,Audio,.wav,data\raw\audio\IQ_000066.wav,162604
TEMP_000067,IQ_000067.wav,Audio,.wav,data\raw\audio\IQ_000067.wav,89964
TEMP_000068,IQ_000068.wav,Audio,.wav,data\raw\audio\IQ_000068.wav,77548
TEMP_000069,IQ_000069.wav,Audio,.wav,data\raw\audio\IQ_000069.wav,81452
TEMP_000070,IQ_000070.wav,Audio,.wav,data\raw\audio\IQ_000070.wav,125580
TEMP_000071,IQ_000071.wav,Audio,.wav,data\raw\audio\IQ_000071.wav,61772
TEMP_000072,IQ_000072.wav,Audio,.wav,data\raw\audio\IQ_000072.wav,71052
TEMP_000073,IQ_000073.wav,Audio,.wav,data\raw\audio\IQ_000073.wav,109836
TEMP_000074,IQ_000074.wav,Audio,.wav,data\raw\audio\IQ_000074.wav,119084
TEMP_000075,IQ_000075.wav,Audio,.wav,data\raw\audio\IQ_000075.wav,64172
TEMP_000076,IQ_000076.wav,Audio,.wav,data\raw\audio\IQ_000076.wav,90476
TEMP_000077,IQ_000077.wav,Audio,.wav,data\raw\audio\IQ_000077.wav,58124
TEMP_000078,IQ_000078.wav,Audio,.wav,data\raw\audio\IQ_000078.wav,70092
TEMP_000079,IQ_000079.wav,Audio,.wav,data\raw\audio\IQ_000079.wav,86124
TEMP_000080,IQ_000080.wav,Audio,.wav,data\raw\audio\IQ_000080.wav,70732
TEMP_000081,IQ_000001.txt,Transcript,.txt,data\raw\transcripts\IQ_000001.txt,86
TEMP_000082,IQ_000002.txt,Transcript,.txt,data\raw\transcripts\IQ_000002.txt,31
TEMP_000083,IQ_000003.txt,Transcript,.txt,data\raw\transcripts\IQ_000003.txt,73
TEMP_000084,IQ_000004.txt,Transcript,.txt,data\raw\transcripts\IQ_000004.txt,135
TEMP_000085,IQ_000005.txt,Transcript,.txt,data\raw\transcripts\IQ_000005.txt,36
TEMP_000086,IQ_000006.txt,Transcript,.txt,data\raw\transcripts\IQ_000006.txt,49
TEMP_000087,IQ_000007.txt,Transcript,.txt,data\raw\transcripts\IQ_000007.txt,114
TEMP_000088,IQ_000008.txt,Transcript,.txt,data\raw\transcripts\IQ_000008.txt,79
TEMP_000089,IQ_000009.txt,Transcript,.txt,data\raw\transcripts\IQ_000009.txt,115
TEMP_000090,IQ_000010.txt,Transcript,.txt,data\raw\transcripts\IQ_000010.txt,177
TEMP_000091,IQ_000011.txt,Transcript,.txt,data\raw\transcripts\IQ_000011.txt,228
TEMP_000092,IQ_000012.txt,Transcript,.txt,data\raw\transcripts\IQ_000012.txt,180
TEMP_000093,IQ_000013.txt,Transcript,.txt,data\raw\transcripts\IQ_000013.txt,105
TEMP_000094,IQ_000014.txt,Transcript,.txt,data\raw\transcripts\IQ_000014.txt,124
TEMP_000095,IQ_000015.txt,Transcript,.txt,data\raw\transcripts\IQ_000015.txt,45
TEMP_000096,IQ_000016.txt,Transcript,.txt,data\raw\transcripts\IQ_000016.txt,88
TEMP_000097,IQ_000017.txt,Transcript,.txt,data\raw\transcripts\IQ_000017.txt,139
TEMP_000098,IQ_000018.txt,Transcript,.txt,data\raw\transcripts\IQ_000018.txt,243
TEMP_000099,IQ_000019.txt,Transcript,.txt,data\raw\transcripts\IQ_000019.txt,144
TEMP_000100,IQ_000020.txt,Transcript,.txt,data\raw\transcripts\IQ_000020.txt,70
TEMP_000101,IQ_000021.txt,Transcript,.txt,data\raw\transcripts\IQ_000021.txt,48
TEMP_000102,IQ_000022.txt,Transcript,.txt,data\raw\transcripts\IQ_000022.txt,68
TEMP_000103,IQ_000023.txt,Transcript,.txt,data\raw\transcripts\IQ_000023.txt,18
TEMP_000104,IQ_000024.txt,Transcript,.txt,data\raw\transcripts\IQ_000024.txt,109
TEMP_000105,IQ_000025.txt,Transcript,.txt,data\raw\transcripts\IQ_000025.txt,160
TEMP_000106,IQ_000026.txt,Transcript,.txt,data\raw\transcripts\IQ_000026.txt,109
TEMP_000107,IQ_000027.txt,Transcript,.txt,data\raw\transcripts\IQ_000027.txt,105
TEMP_000108,IQ_000028.txt,Transcript,.txt,data\raw\transcripts\IQ_000028.txt,47
TEMP_000109,IQ_000029.txt,Transcript,.txt,data\raw\transcripts\IQ_000029.txt,83
TEMP_000110,IQ_000030.txt,Transcript,.txt,data\raw\transcripts\IQ_000030.txt,50
