pair_id,audio_file,transcript_file,speaker_id,speaker_name,gender,age,dialect,governorate,transcript,normalized_text,audio_processed,segmented,aligned,alignment_score,source,language,country,remarks,audio_valid,duration_sec,sample_rate,channels,bit_depth,rms,peak,silence_ratio,validation_message,exists,readable,utf8,empty,duplicated,characters,words,lines,status,message,transcript_valid,pair_valid,text_processed,text_status
PAIR_000001,IQ_000001.wav,IQ_000001.txt,,,,,,,,,False,False,False,,,Arabic,Iraq,,True,3.783,16000,1,PCM_16,0.041212,0.314087,0.062566,OK,True,True,True,False,False,48,10,1,Valid,,True,True,True,Processed
PAIR_000002,IQ_000002.wav,IQ_000002.txt,,,,,,,,,False,False,False,,,Arabic,Iraq,,True,1.979,16000,1,PCM_16,0.0298,0.228638,0.126137,OK,True,True,True,False,False,19,4,1,Valid,,True,True,True,Processed
PAIR_000003,IQ_000003.wav,IQ_000003.txt,,,,,,,,,False,False,False,,,Arabic,Iraq,,True,2.337,16000,1,PCM_16,0.029887,0.201996,0.134815,OK,True,True,True,False,False,40,7,1,Valid,,True,True,True,Processed
PAIR_000004,IQ_000004.wav,IQ_000004.txt,,,,,,,,,False,False,False,,,Arabic,Iraq,,True,5.835,16000,1,PCM_16,0.035202,0.27301,0.052067,OK,True,True,True,False,False,73,11,1,Valid,,True,True,True,Processed
PAIR_000005,IQ_000005.wav,IQ_000005.txt,,,,,,,,,False,False,False,,,Arabic,Iraq,,True,1.906,16000,1,PCM_16,0.042074,0.24527,0.07319,OK,True,True,True,False,False,20,4,1,Valid,,True,True,True,Processed
PAIR_000006,IQ_000006.wav,IQ_000006.txt,,,,,,,,,False,False,False,,,Arabic,Iraq,,True,2.568,16000,1,PCM_16,0.073676,0.411621,0.042494,OK,True,True,True,False,False,27,5,1,Valid,,True,True,True,Processed
PAIR_000007,IQ_000007.wav,IQ_000007.txt,,,,,,,,,False,False,False,,,Arabic,Iraq,,True,5.774,16000,1,PCM_16,0.074784,0.402191,0.033263,OK,True,True,True,False,False,69,12,1,Valid,,True,True,True,Processed
PAIR_000008,IQ_000008.wav,IQ_000008.txt,,,,,,,,,False,False,False,,,Arabic,Iraq,,True,2.893,16000,1,PCM_16,0.065432,0.403137,0.034631,OK,True,True,True,False,False,43,7,1,Valid,,True,True,True,Processed
PAIR_000009,IQ_000009.wav,IQ_000009.txt,,,,,,,,,False,False,False,,,Arabic,Iraq,,True,5.615,16000,1,PCM_16,0.06853,0.407257,0.036632,OK,True,True,True,False,False,69,11,1,Valid,,True,True,True,Processed
PAIR_000010,IQ_000010.wav,IQ_000010.txt,,,,,,,,,False,False,False,,,Arabic,Iraq,,True,8.111,16000,1,PCM_16,0.074188,0.409454,0.030144,OK,True,True,True,False,False,96,15,1,Valid,,True,True,True,Processed
PAIR_000011,IQ_000011.wav,IQ_000011.txt,,,,,,,,,False,False,False,,,Arabic,Iraq,,True,9.15,16000,1,PCM_16,0.061353,0.403381,0.037015,OK,True,True,True,False,False,125,22,1,Valid,,True,True,True,Processed
PAIR_000012,IQ_000012.wav,IQ_000012.txt,,,,,,,,,False,False,False,,,Arabic,Iraq,,True,7.619,16000,1,PCM_16,0.074293,0.405701,0.027267,OK,True,True,True,False,False,97,14,1,Valid,,True,True,True,Processed
PAIR_000013,IQ_000013.wav,IQ_000013.txt,,,,,,,,,False,False,False,,,Arabic,Iraq,,True,4.883,16000,1,PCM_16,0.064163,0.40213,0.040011,OK,True,True,True,False,False,57,9,1,Valid,,True,True,True,Processed
PAIR_000014,IQ_000014.wav,IQ_000014.txt,,,,,,,,,False,False,False,,,Arabic,Iraq,,True,4.172,16000,1,PCM_16,0.061595,0.403015,0.039849,OK,True,True,True,False,False,67,10,1,Valid,,True,True,True,Processed
PAIR_000015,IQ_000015.wav,IQ_000015.txt,,,,,,,,,False,False,False,,,Arabic,Iraq,,True,1.974,16000,1,PCM_16,0.069156,0.404205,0.030807,OK,True,True,True,False,False,24,3,1,Valid,,True,True,True,Processed
PAIR_000016,IQ_000016.wav,IQ_000016.txt,,,,,,,,,False,False,False,,,Arabic,Iraq,,True,3.483,16000,1,PCM_16,0.062273,0.404572,0.035637,OK,True,True,True,False,False,48,8,1,Valid,,True,True,True,Processed
PAIR_000017,IQ_000017.wav,IQ_000017.txt,,,,,,,,,False,False,False,,,Arabic,Iraq,,True,6.638,16000,1,PCM_16,0.061341,0.402161,0.045194,OK,True,True,True,False,False,77,15,1,Valid,,True,True,True,Processed
PAIR_000018,IQ_000018.wav,IQ_000018.txt,,,,,,,,,False,False,False,,,Arabic,Iraq,,True,10.245,16000,1,PCM_16,0.07059,0.409302,0.035023,OK,True,True,True,False,False,136,21,1,Valid,,True,True,True,Processed
PAIR_000019,IQ_000019.wav,IQ_000019.txt,,,,,,,,,False,False,False,,,Arabic,Iraq,,True,6.606,16000,1,PCM_16,0.064299,0.398834,0.042405,OK,True,True,True,False,False,78,12,1,Valid,,True,True,True,Processed
PAIR_000020,IQ_000020.wav,IQ_000020.txt,,,,,,,,,False,False,False,,,Arabic,Iraq,,True,3.09,16000,1,PCM_16,0.057147,0.401459,0.046177,OK,True,True,True,False,False,39,8,1,Valid,,True,True,True,Processed
PAIR_000021,IQ_000021.wav,IQ_000021.txt,,,,,,,,,False,False,False,,,Arabic,Iraq,,True,2.243,16000,1,PCM_16,0.065373,0.397705,0.038787,OK,True,True,True,False,False,26,4,1,Valid,,True,True,True,Processed
